epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.609679,2.80141,3.77403,2.728,0.03769,0.41824,0.03781,0.01247,2.55354,3.55562,2.69911,0,0,0
2,1.2475,2.76026,3.73594,2.61222,0.04343,0.42393,0.03784,0.01271,2.54301,3.5406,2.68987,9.901e-06,9.901e-06,9.901e-06
3,1.86222,3.2089,3.76667,2.82072,0.04125,0.42393,0.03685,0.01264,2.51204,3.54674,2.67801,1.9604e-05,1.9604e-05,1.9604e-05
4,2.48347,3.23087,3.96043,3.1009,0.04599,0.42579,0.04174,0.0147,2.52476,3.5529,2.6844,2.9109e-05,2.9109e-05,2.9109e-05
5,3.05709,2.77108,3.61465,2.74844,0.04055,0.42579,0.04408,0.017,2.50101,3.54607,2.66286,3.8416e-05,3.8416e-05,3.8416e-05
6,3.71711,3.14465,3.85456,2.92783,0.038,0.40198,0.04017,0.01678,2.47895,3.56471,2.62036,4.7525e-05,4.7525e-05,4.7525e-05
7,4.33052,3.00592,3.92183,2.84143,0.03891,0.40198,0.04108,0.01612,2.43923,3.57655,2.5738,5.6436e-05,5.6436e-05,5.6436e-05
8,4.89225,2.75019,3.72148,2.74329,0.03825,0.40198,0.04017,0.01647,2.4295,3.57492,2.54946,6.5149e-05,6.5149e-05,6.5149e-05
9,5.46997,2.73496,3.91478,2.73507,0.04408,0.46095,0.12073,0.02829,2.41558,3.59161,2.52332,7.3664e-05,7.3664e-05,7.3664e-05
10,6.05123,2.66869,3.83169,2.57708,0.04731,0.4761,0.12389,0.02883,2.38964,3.59605,2.51002,8.1981e-05,8.1981e-05,8.1981e-05
11,6.72808,2.82361,3.79425,2.71003,0.04615,0.44661,0.08233,0.02479,2.35365,3.60049,2.47691,9.01e-05,9.01e-05,9.01e-05
12,7.35385,2.59798,3.77577,2.54191,0.04803,0.46665,0.081,0.02472,2.36918,3.60889,2.46274,9.8021e-05,9.8021e-05,9.8021e-05
13,7.99043,2.65931,3.76103,2.65476,0.04098,0.40383,0.08906,0.03112,2.3667,3.61081,2.45582,0.000105744,0.000105744,0.000105744
14,8.6477,2.59799,3.78842,2.64001,0.03617,0.38868,0.11004,0.03777,2.35392,3.6357,2.46256,0.000113269,0.000113269,0.000113269
15,9.32036,2.35068,3.83674,2.38398,0.03452,0.36487,0.11857,0.0395,2.37222,3.65205,2.51491,0.000120596,0.000120596,0.000120596
16,9.94321,2.26717,3.7234,2.34107,0.03051,0.35205,0.11554,0.03138,2.38289,3.65018,2.52882,0.000127725,0.000127725,0.000127725
